system,subset,steps,lambda,repeat_index,repeat_number,mean,std,count
tfim,late5,"1600,1700,1800,1900,2000",1e-08,10,11,0.009275397011951824,0.0007259058536526851,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,10,11,0.00902821017977082,0.0007122785110803952,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,10,11,0.0076510357371779815,0.0006169089170859617,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,10,11,0.008263425908850836,0.0007608333997537386,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,10,11,0.009137861220499211,0.0008915294841799416,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,10,11,0.010029446368264897,0.0008817577159351567,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,10,11,0.010510562611778749,0.0008484700784007985,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,10,11,0.010616984302818069,0.0008680524717063854,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,11,12,0.013898651359833031,0.0023278117942641266,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,11,12,0.013496403293882792,0.0022558163768829813,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,11,12,0.01168253577633879,0.0020196970862116914,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,11,12,0.012257213522322294,0.0019445847738559956,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,11,12,0.013083075618033322,0.0020169533925404014,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,11,12,0.013800467348965274,0.002134504214327949,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,11,12,0.01438481632138521,0.0023694148414473487,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,11,12,0.015021564237164095,0.002756470993349252,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,11,12,0.009253991495413344,0.0007278477108100128,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,11,12,0.008952001157363637,0.0007223260383604048,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,11,12,0.007729269246010309,0.0006316600386324256,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,11,12,0.008364712125497565,0.0007521954777576868,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,11,12,0.00919790231102032,0.0008467346930181816,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,11,12,0.010057562490022003,0.0008588093351139381,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,11,12,0.0105264772695579,0.0008506902238441562,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,11,12,0.01072516266149634,0.000935290316558467,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,12,13,0.013985772690466062,0.0022428867203872992,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,12,13,0.013551422573992822,0.0021387835501913964,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,12,13,0.011622340656606608,0.00194722054353059,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,12,13,0.012229272218188345,0.002035553175940614,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,12,13,0.013144857356113426,0.002126180680096603,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,12,13,0.013915706904520212,0.0021259254903463237,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,12,13,0.014593794457922199,0.0022915561882304075,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,12,13,0.015268705538082131,0.0026602766000987156,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,12,13,0.009502138619113984,0.0006665842820154275,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,12,13,0.009213195866560829,0.0006990016044858444,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,12,13,0.007850641714536543,0.0006260447984965821,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,12,13,0.008421960795727317,0.0006870188842411151,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,12,13,0.009249030335710406,0.0007036310338156501,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,12,13,0.010170185412463681,0.0007009048092084085,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,12,13,0.010651459788368494,0.0007583256363437154,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,12,13,0.010625319268928993,0.0008260372917750419,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,13,14,0.013974818511880333,0.002413720587423534,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,13,14,0.013552754637466876,0.0023149454739205978,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,13,14,0.011746388639030115,0.0021370795946074306,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,13,14,0.012331096173981843,0.002092427011633368,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,13,14,0.013132931956984298,0.002141859847741968,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,13,14,0.013924357540482482,0.002128159323622066,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,13,14,0.014613204793075523,0.0021696218949800753,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,13,14,0.015152288533745395,0.0024414550832232277,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,13,14,0.009268167500940361,0.0009002304094981408,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,13,14,0.008955909623299757,0.0008505392431434201,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,13,14,0.007705307401841372,0.0007692931731341801,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,13,14,0.008350748054205093,0.0008984195722344422,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,13,14,0.009171867443353954,0.0009535252796949345,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,13,14,0.009967162600167157,0.0010086712647212456,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,13,14,0.010428285801850271,0.001003454438011518,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,13,14,0.010555917733711886,0.0008885993083412049,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,14,15,0.014052376001659404,0.002619574157617809,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,14,15,0.013584012688072824,0.0024948368185975555,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,14,15,0.01172850811683442,0.0021492721997044624,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,14,15,0.01237147061202975,0.0019573493133047074,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,14,15,0.01327219365266612,0.0019521377577827728,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,14,15,0.013982514656004414,0.0019850064322075767,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,14,15,0.014603634869447763,0.0021375883032970023,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,14,15,0.015307286489764626,0.0023680532369914032,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,14,15,0.009218871375290757,0.0006968968091064006,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,14,15,0.008967211584387633,0.0006504164515233772,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,14,15,0.007691565954086647,0.0006388077594830937,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,14,15,0.008313637991667431,0.0007337468768810965,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,14,15,0.00914543658685522,0.0007738580202889333,5
